Project Title : exSitu_35Zr39Ti25Nb 
Material : 35Zr39Ti25Nb 
Informations :  
Date : 17/05/2019 
Type test : Tension / Compression 
Control Mod : Manual 
Section : Rectangular 
Width(mm) : 2.210000 
Total Length(mm) : 50.000000 
Gauge Length(mm) : 5.100000 
Thickness(mm) : 0.950000 
====================================================================================================
Time (s) 	Speed (µm/s) 	Traverse Speed (µm/s) 	Displacement (µm) 	Force (N) 	Real Speed (µm/s) 	Cal. Force (V) 	Stress (Mpa) 	Elongation (%) 	Speed Controller Input Voltage (V) 	
18.500000 	5.000000 	5.000000 	-543.200000 	4.920088 	0.010419 	2.462417 	2.343457 	-10.650980 	1.377600 	
18.600000 	5.000000 	5.000000 	-543.200000 	4.801769 	0.009813 	2.462318 	2.287101 	-10.650980 	1.377600 	
18.700000 	5.000000 	5.000000 	-543.200000 	4.644011 	0.009738 	2.462187 	2.211960 	-10.650980 	1.377600 	
18.800000 	5.000000 	5.000000 	-543.200000 	4.604571 	0.008937 	2.462154 	2.193175 	-10.650980 	1.377600 	
18.900000 	5.000000 	5.000000 	-543.200000 	4.801769 	0.006989 	2.462318 	2.287101 	-10.650980 	1.377600 	
19.000000 	5.000000 	5.000000 	-543.200000 	5.018687 	0.006505 	2.462499 	2.390420 	-10.650980 	1.377600 	
19.100000 	5.000000 	5.000000 	-543.200000 	5.087706 	0.006785 	2.462557 	2.423294 	-10.650980 	1.377600 	
19.200000 	5.000000 	5.000000 	-543.200000 	5.294764 	0.007083 	2.462729 	2.521917 	-10.650980 	1.377600 	
19.300000 	5.000000 	5.000000 	-543.200000 	5.442662 	0.007316 	2.462852 	2.592361 	-10.650980 	1.377600 	
19.400000 	5.000000 	5.000000 	-543.200000 	5.255324 	0.007511 	2.462696 	2.503131 	-10.650980 	1.377600 	
19.500000 	5.000000 	5.000000 	-543.200000 	5.284904 	0.007157 	2.462721 	2.517220 	-10.650980 	1.377600 	
19.600000 	5.000000 	5.000000 	-543.200000 	4.880648 	0.007203 	2.462384 	2.324672 	-10.650980 	1.377600 	
19.700000 	5.000000 	5.000000 	-543.200000 	4.722890 	0.008769 	2.462253 	2.249531 	-10.650980 	1.377600 	
19.800000 	5.000000 	5.000000 	-543.200000 	4.703170 	0.008406 	2.462236 	2.240138 	-10.650980 	1.377600 	
19.900000 	5.000000 	5.000000 	-543.200000 	4.732750 	0.008555 	2.462261 	2.254227 	-10.650980 	1.377600 	
20.000000 	5.000000 	5.000000 	-543.200000 	5.117286 	0.008882 	2.462581 	2.437383 	-10.650980 	1.377600 	
